#
# Transition date estimate for NEON.D17.SOAP.DP1.00033
#
# Site: NEON.D17.SOAP.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2024
# Final Processing Date: 2025-05-07
# Final Processing Time: 16:48:14
# Spline RMSE gcc_mean: 0.00333
# Spline RMSE gcc_50: 0.00382
# Spline RMSE gcc_75: 0.00424
# Spline RMSE gcc_90: 0.00531
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_90,2018-05-03,2018-05-16,2018-06-24,2018-04-14,2018-05-07,2018-06-09,2018-05-13,2018-05-31,2018-07-02,0.38267,0.38704,0.39449,0.37974,0.4092
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_90,2019-03-08,2019-03-20,2019-04-12,2019-02-26,2019-03-08,2019-03-31,2019-03-21,2019-04-03,2019-04-21,0.38659,0.3902,0.3964,0.3845,0.40819
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_90,2020-02-22,2020-02-27,2020-03-06,2020-02-17,2020-02-22,2020-03-01,2020-02-28,2020-03-03,2020-04-05,0.39357,0.39637,0.40235,0.39153,0.41309
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_90,2021-03-16,2021-04-05,2021-04-22,2021-02-04,2021-03-18,2021-04-14,2021-04-05,2021-04-16,2021-05-04,0.38917,0.39267,0.39876,0.38695,0.41038
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_90,2022-02-27,2022-03-13,2022-03-29,2022-02-09,2022-03-03,2022-03-22,2022-03-12,2022-03-22,2022-04-09,0.38614,0.38982,0.39695,0.38357,0.40969
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_90,2023-03-18,2023-04-02,2023-04-27,2023-03-12,2023-03-23,2023-04-20,2023-03-28,2023-04-17,2023-05-04,0.38473,0.3899,0.39825,0.38183,0.41441
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_90,2024-04-03,2024-04-13,2024-04-26,2024-01-29,2024-04-05,2024-04-19,2024-04-12,2024-04-20,2024-05-03,0.39485,0.39868,0.40541,0.39263,0.41751
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_75,2018-05-07,2018-05-21,2018-06-29,2018-04-25,2018-05-10,2018-06-20,2018-05-19,2018-06-19,2018-07-05,0.38137,0.38555,0.39262,0.37881,0.40581
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_75,2019-03-03,2019-03-21,2019-04-07,2019-02-23,2019-03-01,2019-03-26,2019-03-22,2019-03-30,2019-04-24,0.38341,0.38639,0.39236,0.38124,0.40328
NEON.D17.SOAP.DP1.00033,EN,1000,rising,gcc_75,2020-02-23,2020-02-27,2020-03-06,2020-02-20,2020-02-23,2020-03-01,2020-02-24,2020-03-02,2020-03-15,0.38733,0.39097,0.39734,0.38555,0.40863
