#
# Transition date estimate for NEON.D02.SERC.DP1.00033
#
# Site: NEON.D02.SERC.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2016
# Year max: 2024
# Final Processing Date: 2025-03-28
# Final Processing Time: 10:43:47
# Spline RMSE gcc_mean: 0.00245
# Spline RMSE gcc_50: 0.00265
# Spline RMSE gcc_75: 0.00276
# Spline RMSE gcc_90: 0.00295
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2016-03-25,2016-03-29,2016-04-11,2016-03-24,2016-03-28,2016-04-07,2016-03-27,2016-03-31,2016-04-13,0.33212,0.34727,0.37822,0.32171,0.43443
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2017-03-29,2017-04-04,2017-04-12,2017-03-21,2017-03-21,2017-03-21,2017-04-20,2017-04-20,2017-04-20,0.33207,0.34932,0.38354,0.32113,0.43892
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2018-04-10,2018-04-16,2018-04-24,2018-04-09,2018-04-15,2018-04-22,2018-04-12,2018-04-18,2018-04-25,0.33019,0.34678,0.37706,0.32125,0.42513
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2019-04-04,2019-04-08,2019-04-12,2019-04-03,2019-04-07,2019-04-11,2019-04-06,2019-04-09,2019-04-13,0.33126,0.34878,0.37725,0.32222,0.43068
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2020-03-19,2020-03-27,2020-04-05,2020-03-17,2020-03-26,2020-04-03,2020-03-23,2020-03-30,2020-04-06,0.33176,0.34643,0.38012,0.32259,0.42796
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2021-03-30,2021-04-03,2021-04-08,2021-03-29,2021-04-02,2021-04-07,2021-04-01,2021-04-05,2021-04-09,0.33714,0.35211,0.37869,0.33039,0.42346
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2022-03-27,2022-04-06,2022-04-14,2022-03-23,2022-04-05,2022-04-12,2022-04-01,2022-04-08,2022-04-15,0.33152,0.34647,0.38024,0.32122,0.42935
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2023-03-28,2023-04-02,2023-04-07,2023-03-26,2023-04-01,2023-04-06,2023-03-30,2023-04-04,2023-04-08,0.33202,0.34672,0.3751,0.32259,0.42428
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_90,2024-03-24,2024-04-02,2024-04-10,2024-03-21,2024-03-31,2024-04-08,2024-03-27,2024-04-04,2024-04-11,0.33216,0.34737,0.37883,0.32261,0.42599
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2016-03-25,2016-03-30,2016-04-15,2016-03-24,2016-03-29,2016-04-13,2016-03-27,2016-04-01,2016-04-16,0.33138,0.34826,0.37839,0.32143,0.43143
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2017-03-29,2017-04-04,2017-04-12,2017-03-21,2017-03-21,2017-03-21,2017-04-20,2017-04-20,2017-04-20,0.33105,0.34655,0.38096,0.32047,0.43385
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2018-04-10,2018-04-16,2018-04-24,2018-04-09,2018-04-15,2018-04-22,2018-04-13,2018-04-18,2018-04-25,0.32914,0.34473,0.37338,0.32048,0.42281
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2019-04-04,2019-04-08,2019-04-13,2019-04-03,2019-04-07,2019-04-11,2019-04-06,2019-04-10,2019-04-14,0.32997,0.34531,0.37814,0.32153,0.42665
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2020-03-19,2020-03-28,2020-04-05,2020-03-17,2020-03-26,2020-04-03,2020-03-22,2020-03-30,2020-04-06,0.33107,0.34756,0.377,0.322,0.42528
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2021-03-29,2021-04-02,2021-04-08,2021-03-27,2021-04-01,2021-04-06,2021-03-31,2021-04-04,2021-04-09,0.33185,0.34485,0.37588,0.32245,0.42035
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2022-03-27,2022-04-07,2022-04-14,2022-03-23,2022-04-06,2022-04-12,2022-04-02,2022-04-08,2022-04-15,0.33101,0.34664,0.37606,0.32064,0.42518
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2023-03-28,2023-04-02,2023-04-07,2023-03-26,2023-04-01,2023-04-06,2023-03-30,2023-04-04,2023-04-08,0.33069,0.34441,0.3719,0.32183,0.4208
NEON.D02.SERC.DP1.00033,DB,1000,rising,gcc_75,2024-03-24,2024-04-03,2024-04-10,2024-03-21,2024-04-01,2024-04-08,2024-03-28,2024-04-05,2024-04-11,0.33094,0.34717,0.37503,0.32198,0.4234
