#
# Transition date estimate for NEON.D07.MLBS.DP1.00033
#
# Site: NEON.D07.MLBS.DP1.00033
# Veg Type: DB
# ROI ID Number: 2000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2024
# Final Processing Date: 2025-03-28
# Final Processing Time: 10:46:09
# Spline RMSE gcc_mean: 0.00197
# Spline RMSE gcc_50: 0.00267
# Spline RMSE gcc_75: 0.00151
# Spline RMSE gcc_90: 0.00163
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_90,2018-05-10,2018-05-13,2018-05-17,2018-05-09,2018-05-12,2018-05-16,2018-05-12,2018-05-15,2018-05-18,0.34597,0.35724,0.37959,0.33981,0.41875
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_90,2019-05-02,2019-05-05,2019-05-09,2019-05-01,2019-05-04,2019-05-08,2019-05-04,2019-05-06,2019-05-10,0.34369,0.35352,0.37148,0.33884,0.402
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_90,2020-05-21,2020-05-26,2020-05-30,2020-05-19,2020-05-25,2020-05-29,2020-05-24,2020-05-27,2020-05-31,0.3473,0.35825,0.37791,0.3409,0.414
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_90,2021-05-16,2021-05-18,2021-05-22,2021-05-15,2021-05-17,2021-05-21,2021-05-17,2021-05-20,2021-05-23,0.34815,0.3568,0.38373,0.34046,0.42285
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_90,2022-05-12,2022-05-15,2022-05-19,2022-05-10,2022-05-14,2022-05-18,2022-05-14,2022-05-16,2022-05-20,0.34737,0.35707,0.38386,0.33993,0.41946
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_90,2023-05-07,2023-05-10,2023-05-14,2023-05-06,2023-05-09,2023-05-13,2023-05-09,2023-05-11,2023-05-15,0.34459,0.35743,0.37702,0.33955,0.41309
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_90,2024-04-30,2024-05-04,2024-05-10,2024-04-29,2024-05-03,2024-05-09,2024-05-02,2024-05-06,2024-05-11,0.34552,0.35691,0.3804,0.33932,0.41963
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_75,2018-05-10,2018-05-14,2018-05-18,2018-05-09,2018-05-13,2018-05-17,2018-05-12,2018-05-15,2018-05-19,0.34362,0.35715,0.3804,0.33872,0.41435
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_75,2019-05-03,2019-05-05,2019-05-10,2019-05-02,2019-05-04,2019-05-08,2019-05-04,2019-05-07,2019-05-11,0.34339,0.35026,0.37251,0.33798,0.39998
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_75,2020-05-22,2020-05-26,2020-05-31,2020-05-20,2020-05-25,2020-05-29,2020-05-24,2020-05-27,2020-06-01,0.34675,0.35614,0.38006,0.33996,0.41138
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_75,2021-05-16,2021-05-19,2021-05-23,2021-05-15,2021-05-18,2021-05-21,2021-05-17,2021-05-20,2021-05-24,0.34655,0.35847,0.38572,0.33986,0.42032
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_75,2022-05-12,2022-05-15,2022-05-19,2022-05-11,2022-05-14,2022-05-18,2022-05-14,2022-05-17,2022-05-20,0.34539,0.35449,0.37858,0.33935,0.41532
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_75,2023-05-07,2023-05-10,2023-05-15,2023-05-06,2023-05-09,2023-05-13,2023-05-09,2023-05-12,2023-05-16,0.34249,0.35411,0.37787,0.33863,0.409
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_75,2024-04-30,2024-05-04,2024-05-10,2024-04-29,2024-05-03,2024-05-09,2024-05-02,2024-05-06,2024-05-11,0.34443,0.35514,0.37776,0.33868,0.41515
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_50,2018-05-11,2018-05-14,2018-05-18,2018-05-10,2018-05-13,2018-05-17,2018-05-13,2018-05-16,2018-05-19,0.34335,0.3527,0.37564,0.33787,0.41094
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_50,2019-05-03,2019-05-06,2019-05-10,2019-05-02,2019-05-05,2019-05-09,2019-05-05,2019-05-08,2019-05-11,0.34063,0.34969,0.36774,0.33701,0.39717
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_50,2020-05-22,2020-05-26,2020-05-31,2020-05-21,2020-05-25,2020-05-30,2020-05-25,2020-05-28,2020-06-01,0.34483,0.35302,0.3751,0.33905,0.40866
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_50,2021-05-16,2021-05-19,2021-05-23,2021-05-15,2021-05-18,2021-05-22,2021-05-18,2021-05-21,2021-05-24,0.34433,0.35435,0.37986,0.33864,0.41724
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_50,2022-05-13,2022-05-16,2022-05-21,2022-05-12,2022-05-15,2022-05-19,2022-05-15,2022-05-17,2022-05-22,0.34509,0.35472,0.37832,0.33842,0.4105
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_50,2023-05-08,2023-05-11,2023-05-15,2023-05-07,2023-05-10,2023-05-14,2023-05-10,2023-05-13,2023-05-16,0.34161,0.35142,0.37175,0.33802,0.40251
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_50,2024-05-01,2024-05-05,2024-05-11,2024-04-30,2024-05-04,2024-05-09,2024-05-03,2024-05-06,2024-05-12,0.34432,0.35427,0.37648,0.33789,0.40717
NEON.D07.MLBS.DP1.00033,DB,2000,rising,gcc_mean,2018-05-11,2018-05-14,2018-05-18,2018-05-10,2018-05-13,2018-05-17,2018-05-13,2018-05-15,2018-05-19,0.34391,0.35342,0.3763,0.33788,0.40782
