"","gcc_value","transition_10","transition_25","transition_50","transition_10_lower_ci","transition_25_lower_ci","transition_50_lower_ci","transition_10_upper_ci","transition_25_upper_ci","transition_50_upper_ci","threshold_10","threshold_25","threshold_50","min_gcc","max_gcc","site","year","doy50","doy25","doy10"
"1","gcc_90",2016-03-25,2016-03-29,2016-04-11,2016-03-24,2016-03-28,2016-04-07,2016-03-27,2016-03-31,2016-04-13,0.33212,0.34727,0.37822,0.32171,0.43443,"NEON.D02.SERC.DP1.00033",2016,102,89,85
"2","gcc_90",2017-03-29,2017-04-04,2017-04-12,2017-03-21,2017-03-21,2017-03-21,2017-04-20,2017-04-20,2017-04-20,0.33207,0.34932,0.38354,0.32113,0.43892,"NEON.D02.SERC.DP1.00033",2017,102,94,88
"3","gcc_90",2018-04-10,2018-04-16,2018-04-24,2018-04-09,2018-04-15,2018-04-22,2018-04-12,2018-04-18,2018-04-25,0.33019,0.34678,0.37706,0.32125,0.42513,"NEON.D02.SERC.DP1.00033",2018,114,106,100
"4","gcc_90",2019-04-04,2019-04-08,2019-04-12,2019-04-03,2019-04-07,2019-04-11,2019-04-06,2019-04-09,2019-04-13,0.33126,0.34878,0.37725,0.32222,0.43068,"NEON.D02.SERC.DP1.00033",2019,102,98,94
"5","gcc_90",2020-03-19,2020-03-27,2020-04-05,2020-03-17,2020-03-26,2020-04-03,2020-03-23,2020-03-30,2020-04-06,0.33176,0.34643,0.38012,0.32259,0.42796,"NEON.D02.SERC.DP1.00033",2020,96,87,79
"6","gcc_90",2021-03-30,2021-04-03,2021-04-08,2021-03-29,2021-04-02,2021-04-07,2021-04-01,2021-04-05,2021-04-09,0.33714,0.35211,0.37869,0.33039,0.42346,"NEON.D02.SERC.DP1.00033",2021,98,93,89
"7","gcc_90",2022-03-27,2022-04-06,2022-04-14,2022-03-23,2022-04-05,2022-04-12,2022-04-01,2022-04-08,2022-04-15,0.33152,0.34647,0.38024,0.32122,0.42935,"NEON.D02.SERC.DP1.00033",2022,104,96,86
"8","gcc_90",2023-03-28,2023-04-02,2023-04-07,2023-03-26,2023-04-01,2023-04-06,2023-03-30,2023-04-04,2023-04-08,0.33202,0.34672,0.3751,0.32259,0.42428,"NEON.D02.SERC.DP1.00033",2023,97,92,87
"9","gcc_90",2024-03-24,2024-04-02,2024-04-10,2024-03-21,2024-03-31,2024-04-08,2024-03-27,2024-04-04,2024-04-11,0.33216,0.34737,0.37883,0.32261,0.42599,"NEON.D02.SERC.DP1.00033",2024,101,93,84
"110","gcc_90",2018-05-10,2018-05-13,2018-05-17,2018-05-09,2018-05-12,2018-05-16,2018-05-12,2018-05-15,2018-05-18,0.34597,0.35724,0.37959,0.33981,0.41875,"NEON.D07.MLBS.DP1.00033",2018,137,133,130
"210","gcc_90",2019-05-02,2019-05-05,2019-05-09,2019-05-01,2019-05-04,2019-05-08,2019-05-04,2019-05-06,2019-05-10,0.34369,0.35352,0.37148,0.33884,0.402,"NEON.D07.MLBS.DP1.00033",2019,129,125,122
"310","gcc_90",2020-05-21,2020-05-26,2020-05-30,2020-05-19,2020-05-25,2020-05-29,2020-05-24,2020-05-27,2020-05-31,0.3473,0.35825,0.37791,0.3409,0.414,"NEON.D07.MLBS.DP1.00033",2020,151,147,142
"41","gcc_90",2021-05-16,2021-05-18,2021-05-22,2021-05-15,2021-05-17,2021-05-21,2021-05-17,2021-05-20,2021-05-23,0.34815,0.3568,0.38373,0.34046,0.42285,"NEON.D07.MLBS.DP1.00033",2021,142,138,136
"51","gcc_90",2022-05-12,2022-05-15,2022-05-19,2022-05-10,2022-05-14,2022-05-18,2022-05-14,2022-05-16,2022-05-20,0.34737,0.35707,0.38386,0.33993,0.41946,"NEON.D07.MLBS.DP1.00033",2022,139,135,132
"61","gcc_90",2023-05-07,2023-05-10,2023-05-14,2023-05-06,2023-05-09,2023-05-13,2023-05-09,2023-05-11,2023-05-15,0.34459,0.35743,0.37702,0.33955,0.41309,"NEON.D07.MLBS.DP1.00033",2023,134,130,127
"71","gcc_90",2024-04-30,2024-05-04,2024-05-10,2024-04-29,2024-05-03,2024-05-09,2024-05-02,2024-05-06,2024-05-11,0.34552,0.35691,0.3804,0.33932,0.41963,"NEON.D07.MLBS.DP1.00033",2024,131,125,121
