#
# Transition date estimate for NEON.D07.GRSM.DP1.00033
#
# Site: NEON.D07.GRSM.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2024
# Final Processing Date: 2025-03-14
# Final Processing Time: 12:32:24
# Spline RMSE gcc_mean: 0.00205
# Spline RMSE gcc_50: 0.00208
# Spline RMSE gcc_75: 0.00213
# Spline RMSE gcc_90: 0.00232
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_90,2017-04-07,2017-04-10,2017-04-16,2017-04-06,2017-04-09,2017-04-14,2017-04-09,2017-04-12,2017-04-17,0.35416,0.36379,0.39314,0.34694,0.43276
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_90,2018-04-11,2018-04-16,2018-04-25,2018-04-10,2018-04-15,2018-04-23,2018-04-13,2018-04-18,2018-04-26,0.3586,0.3726,0.40408,0.34944,0.45292
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_90,2019-04-05,2019-04-09,2019-04-15,2019-04-04,2019-04-08,2019-04-14,2019-04-07,2019-04-11,2019-04-16,0.35757,0.37146,0.39881,0.3495,0.44693
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_90,2020-03-29,2020-04-04,2020-04-16,2020-03-27,2020-04-03,2020-04-13,2020-03-31,2020-04-06,2020-04-18,0.35801,0.37221,0.39831,0.34946,0.44529
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_90,2021-04-04,2021-04-09,2021-04-18,2021-04-02,2021-04-08,2021-04-15,2021-04-06,2021-04-11,2021-04-19,0.35894,0.37179,0.39928,0.34998,0.44593
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_90,2022-04-07,2022-04-13,2022-04-22,2022-04-05,2022-04-12,2022-04-20,2022-04-09,2022-04-15,2022-04-23,0.35808,0.37343,0.40502,0.34797,0.4546
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_90,2023-03-29,2023-04-03,2023-04-11,2023-03-28,2023-04-02,2023-04-09,2023-03-31,2023-04-05,2023-04-12,0.356,0.37123,0.40084,0.34835,0.44942
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_90,2024-04-03,2024-04-09,2024-04-16,2024-04-01,2024-04-08,2024-04-14,2024-04-05,2024-04-10,2024-04-17,0.35739,0.37196,0.4014,0.34809,0.44735
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_75,2017-04-08,2017-04-11,2017-04-16,2017-04-07,2017-04-10,2017-04-15,2017-04-10,2017-04-12,2017-04-17,0.35443,0.36553,0.38956,0.34675,0.42956
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_75,2018-04-11,2018-04-16,2018-04-25,2018-04-10,2018-04-15,2018-04-23,2018-04-14,2018-04-18,2018-04-26,0.35677,0.36976,0.40046,0.34841,0.44859
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_75,2019-04-05,2019-04-09,2019-04-16,2019-04-04,2019-04-08,2019-04-14,2019-04-07,2019-04-11,2019-04-17,0.35602,0.36906,0.39799,0.34864,0.44289
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_75,2020-03-29,2020-04-05,2020-04-17,2020-03-28,2020-04-04,2020-04-14,2020-04-01,2020-04-07,2020-04-19,0.35667,0.37091,0.39687,0.34868,0.44274
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_75,2021-04-05,2021-04-09,2021-04-19,2021-04-03,2021-04-08,2021-04-16,2021-04-07,2021-04-11,2021-04-20,0.3581,0.36878,0.39686,0.34886,0.44199
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_75,2022-04-07,2022-04-13,2022-04-22,2022-04-06,2022-04-12,2022-04-20,2022-04-10,2022-04-15,2022-04-23,0.35592,0.37002,0.40054,0.34711,0.44922
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_75,2023-03-29,2023-04-03,2023-04-12,2023-03-28,2023-04-02,2023-04-10,2023-03-31,2023-04-05,2023-04-13,0.35468,0.36865,0.39992,0.34725,0.44606
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_75,2024-04-03,2024-04-09,2024-04-16,2024-04-01,2024-04-08,2024-04-15,2024-04-06,2024-04-11,2024-04-17,0.35563,0.3685,0.39695,0.34693,0.44271
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_50,2017-04-08,2017-04-11,2017-04-17,2017-04-07,2017-04-10,2017-04-15,2017-04-10,2017-04-13,2017-04-18,0.35153,0.36159,0.39038,0.34569,0.42489
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_50,2018-04-13,2018-04-17,2018-04-25,2018-04-11,2018-04-16,2018-04-24,2018-04-15,2018-04-19,2018-04-26,0.35689,0.36882,0.39648,0.34728,0.44402
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_50,2019-04-06,2019-04-10,2019-04-17,2019-04-05,2019-04-09,2019-04-15,2019-04-08,2019-04-12,2019-04-18,0.35532,0.36787,0.39627,0.34735,0.43801
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_50,2020-03-30,2020-04-05,2020-04-16,2020-03-28,2020-04-04,2020-04-14,2020-04-01,2020-04-07,2020-04-18,0.35571,0.36783,0.39298,0.34756,0.43782
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_50,2021-04-05,2021-04-10,2021-04-19,2021-04-04,2021-04-09,2021-04-17,2021-04-07,2021-04-11,2021-04-20,0.35519,0.36983,0.3944,0.34773,0.43916
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_50,2022-04-08,2022-04-15,2022-04-23,2022-04-06,2022-04-14,2022-04-21,2022-04-10,2022-04-16,2022-04-24,0.35536,0.37033,0.39921,0.3459,0.44457
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_50,2023-03-31,2023-04-05,2023-04-12,2023-03-30,2023-04-04,2023-04-11,2023-04-02,2023-04-07,2023-04-13,0.35446,0.36833,0.39441,0.34588,0.44205
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_50,2024-04-04,2024-04-10,2024-04-16,2024-04-01,2024-04-09,2024-04-15,2024-04-06,2024-04-11,2024-04-17,0.35453,0.36782,0.39213,0.34546,0.43786
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_mean,2017-04-08,2017-04-11,2017-04-16,2017-04-07,2017-04-10,2017-04-15,2017-04-10,2017-04-13,2017-04-17,0.35194,0.36251,0.38423,0.34584,0.42248
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_mean,2018-04-12,2018-04-17,2018-04-25,2018-04-11,2018-04-16,2018-04-23,2018-04-14,2018-04-18,2018-04-26,0.35586,0.36993,0.39673,0.34727,0.44313
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_mean,2019-04-06,2019-04-10,2019-04-16,2019-04-05,2019-04-09,2019-04-14,2019-04-07,2019-04-11,2019-04-17,0.35599,0.36891,0.39323,0.34739,0.43624
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_mean,2020-03-30,2020-04-05,2020-04-15,2020-03-28,2020-04-04,2020-04-13,2020-04-01,2020-04-07,2020-04-17,0.35587,0.36813,0.39096,0.34739,0.43434
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_mean,2021-04-05,2021-04-09,2021-04-18,2021-04-04,2021-04-08,2021-04-16,2021-04-07,2021-04-11,2021-04-20,0.35585,0.36651,0.39247,0.34773,0.43576
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_mean,2022-04-07,2022-04-14,2022-04-22,2022-04-06,2022-04-13,2022-04-21,2022-04-10,2022-04-16,2022-04-23,0.35403,0.3689,0.39481,0.34586,0.44259
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_mean,2023-03-31,2023-04-05,2023-04-12,2023-03-29,2023-04-04,2023-04-11,2023-04-02,2023-04-06,2023-04-13,0.35539,0.36878,0.39426,0.34603,0.44051
NEON.D07.GRSM.DP1.00033,DB,1000,rising,gcc_mean,2024-04-03,2024-04-09,2024-04-16,2024-04-01,2024-04-08,2024-04-15,2024-04-06,2024-04-11,2024-04-17,0.35405,0.36583,0.39231,0.34559,0.43682
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_90,2024-10-28,2024-10-25,2024-10-19,2024-10-30,2024-10-26,2024-10-20,2024-10-27,2024-10-23,2024-10-18,0.35825,0.36996,0.39497,0.34955,0.44037
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_90,2023-10-27,2023-10-24,2023-10-18,2023-10-28,2023-10-25,2023-10-20,2023-10-26,2023-10-22,2023-10-17,0.35275,0.36559,0.39737,0.3431,0.44445
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_90,2022-10-18,2022-10-15,2022-10-08,2022-10-19,2022-10-16,2022-10-10,2022-10-17,2022-10-13,2022-10-07,0.35993,0.3723,0.39866,0.35143,0.44353
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_90,2021-11-02,2021-10-29,2021-10-19,2021-11-03,2021-10-30,2021-10-22,2021-10-31,2021-10-27,2021-10-17,0.36178,0.37637,0.39941,0.35471,0.44307
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_90,2020-10-24,2020-10-19,2020-10-06,2020-10-27,2020-10-20,2020-10-11,2020-10-22,2020-10-17,2020-10-04,0.37433,0.38314,0.40405,0.36732,0.4392
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_90,2019-11-03,2019-10-29,2019-10-22,2019-11-04,2019-10-30,2019-10-24,2019-11-01,2019-10-28,2019-10-21,0.35569,0.37041,0.39319,0.34946,0.43442
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_90,2018-11-02,2018-10-31,2018-10-24,2018-11-03,2018-11-01,2018-10-26,2018-11-01,2018-10-29,2018-10-23,0.35673,0.36751,0.39523,0.34753,0.44083
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_90,2017-11-05,2017-11-02,2017-10-24,2017-11-06,2017-11-03,2017-10-28,2017-11-04,2017-11-01,2017-10-21,0.359,0.36938,0.38918,0.35161,0.42605
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_75,2024-10-28,2024-10-25,2024-10-18,2024-10-29,2024-10-26,2024-10-20,2024-10-27,2024-10-23,2024-10-17,0.35595,0.36703,0.39565,0.34729,0.43742
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_75,2023-10-27,2023-10-24,2023-10-18,2023-10-28,2023-10-25,2023-10-20,2023-10-26,2023-10-22,2023-10-17,0.35008,0.36307,0.395,0.34016,0.44147
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_75,2022-10-18,2022-10-15,2022-10-08,2022-10-19,2022-10-16,2022-10-09,2022-10-17,2022-10-13,2022-10-07,0.35684,0.36876,0.39495,0.34891,0.44015
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_75,2021-11-02,2021-10-29,2021-10-17,2021-11-03,2021-10-30,2021-10-20,2021-10-31,2021-10-27,2021-10-16,0.35956,0.37387,0.39721,0.35253,0.43998
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_75,2020-10-23,2020-10-18,2020-10-06,2020-10-25,2020-10-19,2020-10-11,2020-10-21,2020-10-16,2020-10-04,0.3728,0.3827,0.40146,0.36596,0.43546
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_75,2019-11-03,2019-10-30,2019-10-22,2019-11-04,2019-10-31,2019-10-24,2019-11-01,2019-10-28,2019-10-21,0.35367,0.36579,0.39033,0.34729,0.42938
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_75,2018-11-02,2018-10-30,2018-10-23,2018-11-03,2018-10-31,2018-10-25,2018-10-31,2018-10-29,2018-10-22,0.35252,0.36883,0.39423,0.34784,0.43723
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_75,2017-11-05,2017-11-02,2017-10-22,2017-11-06,2017-11-03,2017-10-26,2017-11-03,2017-10-31,2017-10-18,0.35591,0.36618,0.38805,0.3507,0.42404
NEON.D07.GRSM.DP1.00033,DB,1000,falling,gcc_50,2024-10-28,2024-10-25,2024-10-18,2024-10-29,2024-10-26,2024-10-20,2024-10-26,2024-10-23,2024-10-17,0.35138,0.36245,0.39133,0.34469,0.43089
