#
# Transition date estimate for NEON.D16.WREF.DP1.00033
#
# Site: NEON.D16.WREF.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2024
# Final Processing Date: 2025-03-28
# Final Processing Time: 15:56:36
# Spline RMSE gcc_mean: 0.00285
# Spline RMSE gcc_50: 0.00315
# Spline RMSE gcc_75: 0.00304
# Spline RMSE gcc_90: 0.00312
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_90,2018-03-21,2018-03-30,2018-05-04,2018-03-08,2018-03-21,2018-04-05,2018-03-31,2018-04-10,2018-05-23,0.3671,0.36944,0.37397,0.36555,0.38224
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_90,2019-03-17,2019-03-24,2019-04-09,2019-03-13,2019-03-20,2019-04-02,2019-03-22,2019-03-30,2019-05-07,0.35782,0.36198,0.36992,0.35524,0.38395
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_90,2020-03-28,2020-04-11,2020-05-03,2020-03-03,2020-03-31,2020-04-21,2020-04-09,2020-04-21,2020-05-26,0.36314,0.36658,0.37229,0.36119,0.38334
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_90,2021-03-27,2021-04-13,2021-05-03,2021-03-12,2021-04-02,2021-04-23,2021-04-11,2021-04-22,2021-05-26,0.36227,0.36569,0.37146,0.36016,0.38276
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_90,2022-03-10,2022-04-14,2022-05-25,2022-03-02,2022-03-11,2022-05-11,2022-03-11,2022-04-15,2022-06-04,0.3613,0.36457,0.36966,0.35963,0.3794
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_90,2023-03-26,2023-04-19,2023-05-04,2023-03-18,2023-03-31,2023-04-28,2023-04-17,2023-04-27,2023-05-11,0.35648,0.35983,0.36636,0.35409,0.37821
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_90,2024-03-16,2024-03-21,2024-05-23,2024-03-12,2024-03-16,2024-05-01,2024-03-21,2024-03-30,2024-06-02,0.35895,0.36141,0.36616,0.35718,0.37508
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_75,2018-03-09,2018-03-25,2018-04-25,2018-03-04,2018-03-10,2018-04-03,2018-03-10,2018-04-05,2018-05-17,0.36303,0.36589,0.37072,0.36118,0.38024
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_75,2019-03-16,2019-03-23,2019-04-08,2019-03-11,2019-03-19,2019-04-01,2019-03-21,2019-03-29,2019-05-01,0.35604,0.36002,0.36757,0.35332,0.3816
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_75,2020-03-29,2020-04-09,2020-05-02,2020-02-27,2020-03-30,2020-04-18,2020-04-08,2020-04-19,2020-05-24,0.3614,0.36439,0.36976,0.35937,0.38001
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_75,2021-03-30,2021-04-13,2021-05-03,2021-03-16,2021-04-02,2021-04-22,2021-04-11,2021-04-22,2021-05-29,0.36093,0.36411,0.36953,0.35892,0.37996
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_75,2022-04-26,2022-05-18,2022-06-05,2022-03-11,2022-04-26,2022-05-24,2022-05-19,2022-05-29,2022-06-12,0.36253,0.36509,0.36937,0.36108,0.37742
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_75,2023-04-15,2023-04-24,2023-05-06,2023-03-25,2023-04-16,2023-04-29,2023-04-23,2023-04-30,2023-05-21,0.35664,0.35958,0.36499,0.35461,0.37508
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_75,2024-03-16,2024-03-22,2024-05-15,2024-03-12,2024-03-16,2024-05-03,2024-03-23,2024-04-03,2024-06-02,0.35673,0.35927,0.36378,0.35517,0.37212
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_50,2018-03-02,2018-03-05,2018-04-05,2018-02-26,2018-03-02,2018-03-23,2018-03-03,2018-03-06,2018-04-22,0.35458,0.35827,0.36459,0.35227,0.37664
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_50,2019-03-14,2019-03-20,2019-04-06,2019-03-09,2019-03-16,2019-03-30,2019-03-18,2019-03-26,2019-04-17,0.35267,0.35658,0.36425,0.34988,0.37851
NEON.D16.WREF.DP1.00033,EN,1000,rising,gcc_50,2023-04-11,2023-04-18,2023-04-29,2023-04-10,2023-04-17,2023-04-28,2023-04-18,2023-04-25,2023-05-05,0.35131,0.35428,0.35931,0.34961,0.36851
